State,City,Airport,Code,Year,Freight tons,Mail tons,Passengers,Latitude,Longitude
Nebraska,Omaha,Eppley Airfield,OMA,1990,3830881,28745700,988856,41.30194444,-95.89333333
Nebraska,Lincoln,Lincoln Airport,LNK,1990,442813,130751,198636,40.85083333,-96.75888889
Nebraska,Omaha,Millard,MIQ,1990,481996,0,0,41.19611111,-96.11194444
Nebraska,Omaha,Offutt AFB,OFF,1990,0,0,40,41.11833333,-95.91222222
Nebraska,Scottsbluff,William B. Heilig Field,BFF,1990,0,0,0,41.87527778,-103.6011111
Nebraska,Lincoln,Lincoln Airport,LNK,1991,159,121,164859,40.85083333,-96.75888889
Nebraska,Omaha,Offutt AFB,OFF,1991,23,0,159,41.11833333,-95.91222222
Nebraska,Omaha,Eppley Airfield,OMA,1991,15496,16378,1064087,41.30194444,-95.89333333
Nebraska,McCook,McCook Municipal,MCK,1991,0,0,0,40.20611111,-100.59
Nebraska,Scottsbluff,William B. Heilig Field,BFF,1991,135,0,391,41.87527778,-103.6011111
Nebraska,Grand Island,Grand Island Air Park,GRI,1991,255,0,886,40.96722222,-98.30666667
Nebraska,North Platte,North Platte Regional Airport Lee Bird Field,LBF,1991,129,0,683,41.12833333,-100.6966667
Nebraska,Fremont,Fremont Municipal,FET,1991,1,0,0,41.45,-96.51666667
Nebraska,Kimball,Kimball Municipal/Robert E. Arraj Field,XWO,1991,1,0,0,41.18805556,-103.6769444
Nebraska,Lincoln,Lincoln Airport,LNK,1992,89,1086,193927,40.85083333,-96.75888889
Nebraska,Omaha,Offutt AFB,OFF,1992,16,0,162,41.11833333,-95.91222222
Nebraska,Omaha,Eppley Airfield,OMA,1992,7439,18567,1047384,41.30194444,-95.89333333
Nebraska,McCook,McCook Municipal,MCK,1992,3,0,102,40.20611111,-100.59
Nebraska,Lexington,Jim Kelly Field,LXN,1992,1,0,0,40.79055556,-99.77583333
Nebraska,Scottsbluff,William B. Heilig Field,BFF,1992,122,0,781,41.87527778,-103.6011111
Nebraska,Grand Island,Grand Island Air Park,GRI,1992,302,0,1185,40.96722222,-98.30666667
Nebraska,North Platte,North Platte Regional Airport Lee Bird Field,LBF,1992,110,0,595,41.12833333,-100.6966667
Nebraska,Columbus,Columbus Municipal,OLU,1992,2,0,0,41.44722222,-97.34166667
Nebraska,Sidney,Sidney Municipal/Lloyd W. Carr Field,SNY,1992,1,0,0,41.09944444,-102.9825
Nebraska,Kimball,Kimball Municipal/Robert E. Arraj Field,XWO,1992,0,0,0,41.18805556,-103.6769444
Nebraska,Kearney,Kearney Regional,EAR,1992,2,0,0,40.72833333,-98.99888889
Nebraska,Lincoln,Lincoln Airport,LNK,1993,116,2270,191760,40.85083333,-96.75888889
Nebraska,Omaha,Eppley Airfield,OMA,1993,12249,19318,1024584,41.30194444,-95.89333333
Nebraska,McCook,McCook Municipal,MCK,1993,1,0,0,40.20611111,-100.59
Nebraska,Scottsbluff,William B. Heilig Field,BFF,1993,149,0,1138,41.87527778,-103.6011111
Nebraska,Grand Island,Grand Island Air Park,GRI,1993,253,0,1693,40.96722222,-98.30666667
Nebraska,North Platte,North Platte Regional Airport Lee Bird Field,LBF,1993,131,0,1006,41.12833333,-100.6966667
Nebraska,Hastings,Hastings Municipal,HSI,1993,1,0,0,40.60555556,-98.42694444
Nebraska,Kimball,Kimball Municipal/Robert E. Arraj Field,XWO,1993,1,0,0,41.18805556,-103.6769444
Nebraska,Lincoln,Lincoln Airport,LNK,1994,114,2082,212906,40.85083333,-96.75888889
Nebraska,Chadron,Chadron Municipal,CDR,1994,6,0,0,42.835,-103.0977778
Nebraska,Omaha,Eppley Airfield,OMA,1994,12403,20957,1165604,41.30194444,-95.89333333
Nebraska,McCook,McCook Municipal,MCK,1994,3,0,0,40.20611111,-100.59
Nebraska,Scottsbluff,William B. Heilig Field,BFF,1994,94,0,845,41.87527778,-103.6011111
Nebraska,Grand Island,Grand Island Air Park,GRI,1994,394,0,2310,40.96722222,-98.30666667
Nebraska,North Platte,North Platte Regional Airport Lee Bird Field,LBF,1994,148,0,1249,41.12833333,-100.6966667
Nebraska,Columbus,Columbus Municipal,OLU,1994,1,0,0,41.44722222,-97.34166667
Nebraska,Norfolk,Norfolk Regional/Karl Stefan Memorial Field,OFK,1994,0,0,0,41.98416667,-97.43416667
Nebraska,Lincoln,Lincoln Airport,LNK,1995,75,2609,234707,40.85083333,-96.75888889
Nebraska,Omaha,Offutt AFB,OFF,1995,0,0,0,41.11833333,-95.91222222
Nebraska,Omaha,Eppley Airfield,OMA,1995,11258,25178,1471459,41.30194444,-95.89333333
Nebraska,McCook,McCook Municipal,MCK,1995,2,0,0,40.20611111,-100.59
Nebraska,Ogallala,Searle Field,OGA,1995,1,0,0,41.11972222,-101.7691667
Nebraska,Lexington,Jim Kelly Field,LXN,1995,1,0,0,40.79055556,-99.77583333
Nebraska,Scottsbluff,William B. Heilig Field,BFF,1995,74,0,7278,41.87527778,-103.6011111
Nebraska,Grand Island,Grand Island Air Park,GRI,1995,306,0,2334,40.96722222,-98.30666667
Nebraska,North Platte,North Platte Regional Airport Lee Bird Field,LBF,1995,133,0,4967,41.12833333,-100.6966667
Nebraska,Kimball,Kimball Municipal/Robert E. Arraj Field,XWO,1995,2,0,0,41.18805556,-103.6769444
Nebraska,Kearney,Kearney Regional,EAR,1995,0,0,0,40.72833333,-98.99888889
Nebraska,Lincoln,Lincoln Airport,LNK,1996,61,2419,224205,40.85083333,-96.75888889
Nebraska,Omaha,Offutt AFB,OFF,1996,0,0,0,41.11833333,-95.91222222
Nebraska,Omaha,Eppley Airfield,OMA,1996,10566,23066,1666357,41.30194444,-95.89333333
Nebraska,McCook,McCook Municipal,MCK,1996,2,0,0,40.20611111,-100.59
Nebraska,Ogallala,Searle Field,OGA,1996,3,0,0,41.11972222,-101.7691667
Nebraska,Scottsbluff,William B. Heilig Field,BFF,1996,87,0,11295,41.87527778,-103.6011111
Nebraska,Grand Island,Grand Island Air Park,GRI,1996,250,0,2178,40.96722222,-98.30666667
Nebraska,North Platte,North Platte Regional Airport Lee Bird Field,LBF,1996,145,0,9377,41.12833333,-100.6966667
Nebraska,Columbus,Columbus Municipal,OLU,1996,1,0,0,41.44722222,-97.34166667
Nebraska,Sidney,Sidney Municipal/Lloyd W. Carr Field,SNY,1996,1,0,0,41.09944444,-102.9825
Nebraska,Kimball,Kimball Municipal/Robert E. Arraj Field,XWO,1996,1,0,0,41.18805556,-103.6769444
Nebraska,Lincoln,Lincoln Airport,LNK,1997,55,1508,238866,40.85083333,-96.75888889
Nebraska,Omaha,Offutt AFB,OFF,1997,0,0,0,41.11833333,-95.91222222
Nebraska,Omaha,Eppley Airfield,OMA,1997,26298,15783,1624139,41.30194444,-95.89333333
Nebraska,McCook,McCook Municipal,MCK,1997,5,0,0,40.20611111,-100.59
Nebraska,Lexington,Jim Kelly Field,LXN,1997,1,0,0,40.79055556,-99.77583333
Nebraska,Scottsbluff,William B. Heilig Field,BFF,1997,95,0,7234,41.87527778,-103.6011111
Nebraska,Grand Island,Grand Island Air Park,GRI,1997,344,0,2724,40.96722222,-98.30666667
Nebraska,North Platte,North Platte Regional Airport Lee Bird Field,LBF,1997,149,0,4520,41.12833333,-100.6966667
Nebraska,Columbus,Columbus Municipal,OLU,1997,8,0,0,41.44722222,-97.34166667
